,0,1,2,3,4,5
0,0.9976938,0.9964982,0.9868944,0.9992118,0.9957166,0.9988457
1,0.99803966,0.99709964,0.9885167,0.9993694,0.9962015,0.99888504
2,0.9980743,0.99713844,0.9886758,0.9993694,0.99623084,0.99888504
3,0.9980743,0.99717724,0.9887712,0.9993891,0.99625564,0.99889815
4,0.9980743,0.99717724,0.9887712,0.9993891,0.9962782,0.99889815
5,0.9980858,0.9971869,0.988803,0.99940884,0.9962895,0.99889815
6,0.99809736,0.9971869,0.9888666,0.9994285,0.99629176,0.99889815
7,0.99809736,0.99720633,0.9888666,0.9994285,0.9963121,0.99889815
8,0.99809736,0.99720633,0.9889302,0.9994285,0.9963143,0.99889815
9,0.99809736,0.99721605,0.9889302,0.9994285,0.9963211,0.99889815
10,0.99809736,0.99721605,0.9889302,0.9994285,0.9963256,0.99889815
11,0.99809736,0.9972257,0.98896205,0.9994285,0.9963278,0.99889815
12,0.99809736,0.9972257,0.98896205,0.9994285,0.9963301,0.99889815
13,0.99809736,0.9972354,0.98896205,0.9994285,0.99633235,0.99889815
14,0.99809736,0.99724513,0.98896205,0.9994285,0.9963346,0.99889815
15,0.99809736,0.99725485,0.98896205,0.9994285,0.9963369,0.99889815
16,0.99809736,0.99725485,0.98896205,0.9994285,0.9963369,0.99889815
17,0.99809736,0.99725485,0.98902565,0.9994285,0.9963369,0.99889815
18,0.99809736,0.99725485,0.98902565,0.9994285,0.99633914,0.99889815
19,0.99809736,0.9972645,0.98902565,0.9994285,0.99634135,0.99889815
20,0.99809736,0.9972645,0.98902565,0.9994285,0.99634135,0.99889815
21,0.99809736,0.9972645,0.98902565,0.9994285,0.9963436,0.99889815
22,0.99810886,0.9972742,0.9890575,0.9994285,0.9963459,0.99889815
23,0.99810886,0.9972742,0.9890575,0.9994285,0.9963459,0.99889815
24,0.99810886,0.99728394,0.9890575,0.9994285,0.9963504,0.99889815
25,0.99810886,0.99729365,0.9890575,0.9994285,0.99635494,0.99889815
26,0.99810886,0.99729365,0.9890575,0.9994285,0.99635494,0.99889815
27,0.99810886,0.9973033,0.9890575,0.9994285,0.99635494,0.99889815
28,0.99810886,0.9973033,0.9890575,0.9994285,0.99635714,0.99889815
29,0.99810886,0.9973033,0.9890575,0.9994285,0.9963617,0.99889815
30,0.99810886,0.9973033,0.9890575,0.9994285,0.99636394,0.99889815
31,0.99810886,0.9973033,0.9890575,0.9994285,0.99636394,0.99889815
32,0.99810886,0.997313,0.9890575,0.9994285,0.99636394,0.99889815
33,0.99810886,0.997313,0.9890893,0.9994285,0.9963662,0.99889815
34,0.99810886,0.997313,0.9891211,0.9994285,0.9963707,0.99889815
35,0.99810886,0.997313,0.9891211,0.9994285,0.99637294,0.99889815
36,0.99810886,0.997313,0.9891211,0.9994285,0.99637294,0.99889815
37,0.99810886,0.99733245,0.9891211,0.9994285,0.99637294,0.99889815
38,0.99810886,0.99733245,0.9891211,0.9994285,0.99637294,0.99889815
39,0.9981204,0.99733245,0.9891211,0.9994285,0.99637294,0.99889815
40,0.9981204,0.99733245,0.9891211,0.9994285,0.99637294,0.99889815
41,0.9981204,0.99733245,0.9891211,0.9994285,0.9963752,0.99889815
42,0.9981204,0.99733245,0.9891211,0.9994285,0.9963752,0.99889815
43,0.9981204,0.9973421,0.9891211,0.9994285,0.99637747,0.99889815
44,0.9981204,0.9973421,0.9891211,0.9994285,0.99637973,0.99889815
45,0.9981204,0.9973421,0.9891211,0.9994285,0.99637973,0.99889815
46,0.99813193,0.9973518,0.9891211,0.9994285,0.99637973,0.99889815
47,0.9981435,0.9973518,0.9891211,0.9994285,0.99637973,0.99889815
48,0.9981435,0.9973518,0.9891211,0.9994285,0.996382,0.99889815
49,0.9981435,0.9973518,0.9891529,0.9994285,0.996382,0.99889815
50,0.9981435,0.9973518,0.9891529,0.9994285,0.996382,0.99889815
51,0.9981435,0.9973518,0.9891529,0.9994285,0.996382,0.99889815
52,0.9981435,0.9973518,0.9891529,0.9994285,0.996382,0.99889815
53,0.9981435,0.9973518,0.9891529,0.9994285,0.996382,0.99889815
54,0.9981435,0.9973518,0.9891529,0.9994285,0.996382,0.99889815
55,0.9981435,0.99736154,0.9891529,0.9994285,0.996382,0.99889815
56,0.9981435,0.99736154,0.9891529,0.9994285,0.996382,0.99889815
57,0.9981435,0.99736154,0.9891529,0.9994285,0.996382,0.99889815
58,0.9981435,0.99736154,0.9891529,0.9994285,0.996382,0.99889815
59,0.9981435,0.99736154,0.9891529,0.9994285,0.996382,0.99889815
60,0.9981435,0.99736154,0.9891529,0.9994285,0.996382,0.99889815
61,0.9981435,0.99736154,0.9891529,0.9994285,0.9963842,0.99889815
62,0.9981435,0.99736154,0.9891529,0.9994285,0.9963842,0.99889815
63,0.9981435,0.99736154,0.9891529,0.9994285,0.9963842,0.99889815
64,0.9981435,0.99736154,0.9891529,0.9994285,0.9963842,0.99889815
65,0.9981435,0.99736154,0.9891529,0.9994285,0.99638647,0.99889815
66,0.9981435,0.99736154,0.9891529,0.9994285,0.99638647,0.99889815
67,0.9981435,0.99736154,0.9891529,0.9994285,0.99638647,0.99889815
68,0.9981435,0.99736154,0.9891529,0.9994285,0.996391,0.99889815
69,0.9981435,0.99736154,0.9891529,0.9994285,0.996391,0.99889815
70,0.998155,0.99736154,0.9891529,0.9994285,0.9963955,0.99889815
71,0.998155,0.99736154,0.9891529,0.9994285,0.9963955,0.99889815
72,0.998155,0.99736154,0.9891529,0.9994285,0.9963978,0.99889815
73,0.998155,0.99736154,0.9891529,0.9994285,0.9963978,0.99889815
74,0.998155,0.99736154,0.9891529,0.9994285,0.9963978,0.99889815
75,0.998155,0.99736154,0.9891529,0.9994285,0.9963978,0.99889815
76,0.998155,0.99736154,0.9891529,0.9994285,0.9964,0.99889815
77,0.998155,0.99736154,0.9891529,0.9994285,0.99640226,0.99889815
78,0.998155,0.99736154,0.98918474,0.9994285,0.99640226,0.99889815
79,0.998155,0.99736154,0.98918474,0.9994285,0.99640226,0.99889815
80,0.99816656,0.99736154,0.98918474,0.9994285,0.99640226,0.99889815
81,0.99816656,0.99736154,0.98918474,0.9994285,0.99640226,0.99889815
82,0.99816656,0.99736154,0.98918474,0.9994285,0.99640226,0.99889815
83,0.99816656,0.99736154,0.9892165,0.9994285,0.99640226,0.99889815
84,0.99816656,0.99736154,0.98924834,0.9994285,0.9964045,0.99889815
85,0.99816656,0.99736154,0.98924834,0.9994285,0.9964045,0.99889815
86,0.99816656,0.99736154,0.98924834,0.9994285,0.9964045,0.99889815
87,0.99816656,0.99736154,0.98924834,0.9994285,0.9964045,0.99889815
88,0.99816656,0.99737126,0.98924834,0.9994285,0.9964045,0.99889815
89,0.99816656,0.99737126,0.98924834,0.9994285,0.9964045,0.99889815
90,0.99816656,0.9973809,0.98924834,0.9994285,0.9964045,0.99889815
91,0.99816656,0.9973809,0.98924834,0.9994285,0.9964045,0.99889815
92,0.99816656,0.9973809,0.98924834,0.9994285,0.9964068,0.99889815
93,0.99816656,0.9973809,0.98924834,0.9994285,0.9964068,0.99889815
94,0.99816656,0.9973809,0.98924834,0.9994285,0.9964068,0.99889815
95,0.99816656,0.9973809,0.98924834,0.9994285,0.9964068,0.99889815
96,0.99816656,0.9973809,0.98924834,0.9994285,0.99640906,0.99889815
97,0.99816656,0.9973809,0.98924834,0.9994285,0.99640906,0.99889815
98,0.99816656,0.9973809,0.98924834,0.9994285,0.99640906,0.99889815
99,0.99816656,0.9973809,0.98924834,0.9994285,0.9964113,0.99889815
100,0.99816656,0.9973809,0.98924834,0.99944824,0.9964135,0.99889815
101,0.99816656,0.9973809,0.98924834,0.99944824,0.9964135,0.99889815
102,0.99816656,0.9973809,0.98924834,0.99944824,0.9964135,0.99889815
103,0.99816656,0.9973809,0.98924834,0.99944824,0.9964135,0.99889815
