,fpr,tpr,thresholds
0,0.0,0.0,1.9999901056289673
1,0.0,1.923302541259648e-06,0.9999901056289673
2,0.0,3.846605082519296e-06,0.9999886751174927
3,2.1472733330865203e-05,4.42359584489719e-05,0.9999885559082031
4,3.109844137573581e-05,5.5775773696529784e-05,0.9999881982803345
5,3.109844137573581e-05,9.231852198046309e-05,0.9999873638153076
6,3.109844137573581e-05,9.424182452172274e-05,0.9999871253967285
7,3.33197586168598e-05,0.00014809429567699288,0.999987006187439
8,4.442634482247973e-05,0.0002865720786476875,0.9999866485595703
9,4.738810114397838e-05,0.0002865720786476875,0.9999865293502808
10,4.738810114397838e-05,0.0003154216167665822,0.9999856948852539
11,4.738810114397838e-05,0.0003250381294728805,0.9999855756759644
12,4.738810114397838e-05,0.0003327313396379191,0.9999853372573853
13,4.738810114397838e-05,0.000338501247261698,0.9999852180480957
14,4.738810114397838e-05,0.00034042454980295764,0.9999850988388062
15,4.738810114397838e-05,0.0003538876675917752,0.9999849796295166
16,4.738810114397838e-05,0.0003635041802980734,0.999984860420227
17,4.738810114397838e-05,0.0003673507853805927,0.999984622001648
18,4.738810114397838e-05,0.0003750439955456313,0.9999841451644897
19,4.812854022435304e-05,0.0003788906006281506,0.9999840259552002
20,4.812854022435304e-05,0.000409663441288305,0.999983549118042
21,4.812854022435304e-05,0.00046928582006735403,0.9999833106994629
22,4.812854022435304e-05,0.0004923654505624699,0.9999831914901733
23,4.812854022435304e-05,0.0005115984759750663,0.9999830722808838
24,4.812854022435304e-05,0.0005346781064701821,0.9999827146530151
25,4.812854022435304e-05,0.0005616043420478171,0.9999825954437256
26,4.812854022435304e-05,0.0006096869055793084,0.999982476234436
27,4.812854022435304e-05,0.0006481529564045013,0.9999822378158569
28,4.812854022435304e-05,0.0006558461665695399,0.9999819993972778
29,4.812854022435304e-05,0.0007135452428073294,0.9999818801879883
30,4.812854022435304e-05,0.0007385481758437047,0.9999817609786987
31,4.812854022435304e-05,0.0007943239495402345,0.9999815225601196
32,4.812854022435304e-05,0.0008154802774940907,0.9999812841415405
33,4.812854022435304e-05,0.0008174035800353503,0.999981164932251
34,4.812854022435304e-05,0.0008770259588143994,0.9999810457229614
35,4.812854022435304e-05,0.0008885657740619572,0.9999809265136719
36,4.812854022435304e-05,0.0008904890766032169,0.9999808073043823
37,4.812854022435304e-05,0.0009154920096395924,0.9999806880950928
38,4.812854022435304e-05,0.0009558813630060449,0.9999805688858032
39,4.812854022435304e-05,0.0009578046655473046,0.9999804496765137
40,4.812854022435304e-05,0.0010020406239962766,0.9999803304672241
41,4.812854022435304e-05,0.0010058872290787959,0.9999802112579346
42,4.812854022435304e-05,0.0010135804392438343,0.999980092048645
43,4.812854022435304e-05,0.0010501231875277676,0.9999799728393555
44,4.812854022435304e-05,0.0010520464900690273,0.9999798536300659
45,4.812854022435304e-05,0.0011366718018844518,0.9999796152114868
46,4.812854022435304e-05,0.0011385951044257114,0.9999794960021973
47,4.812854022435304e-05,0.0011732145501683851,0.9999793767929077
48,4.812854022435304e-05,0.0011828310628746834,0.9999791383743286
49,4.812854022435304e-05,0.0012463000467362517,0.9999788999557495
50,4.812854022435304e-05,0.0012578398619838096,0.99997878074646
51,4.812854022435304e-05,0.0012597631645250692,0.9999785423278809
52,4.812854022435304e-05,0.0012636097696075886,0.9999779462814331
53,4.812854022435304e-05,0.0012866894001027044,0.9999778270721436
54,4.812854022435304e-05,0.0013193855433041185,0.999977707862854
55,4.812854022435304e-05,0.0013309253585516764,0.9999774694442749
56,4.812854022435304e-05,0.0013578515941293113,0.9999771118164062
57,4.812854022435304e-05,0.0013616981992118306,0.9999768733978271
58,4.812854022435304e-05,0.0013636215017530902,0.999976634979248
59,4.812854022435304e-05,0.001380931224624427,0.9999765157699585
60,4.812854022435304e-05,0.0014020875525782833,0.9999762773513794
61,4.812854022435304e-05,0.0014059341576608026,0.9999761581420898
62,4.812854022435304e-05,0.0014117040652845815,0.9999758005142212
