,fpr,tpr,thresholds
0,0.0,0.0,2.0
1,0.0,0.25411653217700947,1.0
2,0.0,0.25411940384228815,0.999999107477553
3,0.0,0.2541337621686816,0.999999024104616
4,0.0,0.2541452488297964,0.9999989588910703
5,0.0,0.2541624788214686,0.9999986962190351
6,0.0,0.2542170404617638,0.9999985979670523
7,0.0,0.2542199121270425,0.9999983364755463
8,0.0,0.25428883209373115,0.99999819868504
9,0.0,0.25439221204376417,0.9999980978950037
10,0.0,0.25440082703960026,0.9999978125394507
11,0.0,0.2544324153576659,0.9999977654716798
12,0.0,0.2544467736840594,0.9999975472160904
13,0.0,0.25444964534933806,0.9999973512729473
14,0.0,0.25448697699796113,0.9999971687429218
15,0.0,0.255448984866324,0.9999969742813919
16,0.0,0.25556959480802915,0.9999969493593655
17,0.0,0.25558395313442267,0.9999967795362532
18,0.0,0.25559543979553745,0.9999967686342095
19,0.0,0.25559831146081613,0.9999967243627501
20,0.0,0.2556040547913735,0.9999965324670584
21,0.0,0.25560692645665223,0.9999963402554932
22,0.0,0.2556126697872096,0.9999963159676102
23,0.0,0.255618413117767,0.9999960568369185
24,0.0,0.25562415644832437,0.9999960538805595
25,0.0,0.2556270281136031,0.999995933172462
26,0.0,0.25564138643999657,0.9999959082504357
27,0.0,0.2556471297705539,0.9999957667099741
28,0.0,0.25569020474973436,0.9999956451110941
29,0.0,0.25570169141084914,0.9999955812372536
30,0.0,0.2557045630761278,0.9999955473264177
31,0.0,0.25571030640668524,0.9999955116696588
32,0.0,0.25583091634839045,0.9999953284871134
33,0.0,0.2558452746747839,0.9999952591656132
34,0.0,0.25618700284294865,0.9999951845906903
35,0.0,0.25618987450822733,0.9999951729664319
36,0.0,0.2562013611693421,0.9999951480444055
37,0.0,0.2562099761651782,0.9999945235487405
38,0.0,0.2562128478304569,0.9999945188141274
39,0.0,0.2565574476639003,0.9999941873688999
40,0.0,0.256560319329179,0.9999941430243138
41,0.0,0.25656606265973636,0.9999940574491213
42,0.0,0.2566091376389168,0.999993804213135
43,0.0,0.2566148809694742,0.9999937761328401
44,0.0,0.2566292392958677,0.9999936948297603
45,0.0,0.2566550842833759,0.9999935383820109
46,0.0,0.2566694426097694,0.9999935355544506
47,0.0,0.25667805760560547,0.9999934645748674
48,0.0,0.25668667260144157,0.999993294846453
49,0.0,0.256692415931999,0.9999932899762568
50,0.0,0.256701030927835,0.9999932346087348
51,0.0,0.25670677425839245,0.9999932226234813
52,0.0,0.2567125175889498,0.9999932030571225
53,0.0,0.2567240042500646,0.9999931797911966
54,0.0,0.25675559256813024,0.9999930017728842
55,0.0,0.25676420756396634,0.9999926797600607
56,0.0,0.25678143755563854,0.9999926745505295
57,0.0,0.2567843092209172,0.9999924021801873
58,0.0,0.2567929242167533,0.99999238605394
59,0.0,0.256795795882032,0.9999922852639037
60,0.0,0.2568044108778681,0.9999921104536489
61,0.0,0.2568446141917698,0.9999916736053288
62,0.0,0.25684748585704853,0.9999915997399365
63,0.0,0.25686471584872067,0.9999915254237288
64,0.0,0.2568704591792781,0.9999913038536906
65,0.0,0.25695948080291764,0.9999912159618521
66,0.0,0.2569709674640324,0.9999911616502918
67,0.0,0.25699106912098324,0.9999911367282653
68,0.0,0.25699968411681934,0.9999910090424803
69,0.0,0.25700542744737676,0.9999909923306474
70,0.0,0.25700829911265544,0.9999908808819004
71,0.0,0.2570197857737702,0.999990766200146
72,0.0,0.2570255291043276,0.9999904587191786
73,0.0,0.25703701576544236,0.9999901748529224
74,0.0,0.2570427590959998,0.9999898961788156
75,0.0,0.25705711742239323,0.9999895342399426
76,0.0,0.25706573241822933,0.9999893502849726
77,0.0,0.257163369037705,0.9999889196675901
78,0.0,0.25717772736409844,0.9999888794204506
79,0.0,0.25718347069465586,0.9999888309376701
80,0.0,0.2571892140252132,0.9999884182006897
81,0.0,0.25719495735577064,0.9999884164007438
82,0.0,0.25723516066967234,0.99998838435665
83,0.0,0.257238032334951,0.9999883810999225
84,0.0,0.2572466473307871,0.9999882560187904
85,0.0,0.2572552623266232,0.9999879668281142
86,0.0,0.25728110731413145,0.999987937273824
87,0.0,0.25728685064468887,0.9999876995607501
88,0.0,0.25730120897108233,0.999987515605493
89,0.0,0.25730695230163975,0.9999875007572099
90,0.0,0.2573213106280332,0.9999874130225718
91,0.0,0.25732705395859057,0.9999873671600966
92,0.0,0.25750509720586967,0.9999873243899863
93,0.0,0.2575108405364271,0.9999871891417841
94,0.0,0.25751658386698445,0.9999870801033591
95,0.0,0.25752807052809923,0.9999862978225488
96,0.0,0.2575768888378371,0.9999860724233983
97,0.0,0.25758837549895186,0.9999858021769995
98,0.0,0.257605605490624,0.9999857844404239
99,0.0,0.2576084771559027,0.9999857570537148
100,0.0,0.25761996381701746,0.9999857468643101
101,0.0,0.2576257071475749,0.9999855230750263
102,0.0,0.25763719380868966,0.9999853450623837
103,0.0,0.25764006547396834,0.9999853318535976
104,0.0,0.25769462711426355,0.9999850673085495
105,0.0,0.25770037044482097,0.9999847792998477
106,0.0,0.2577348304281653,0.9999847746650427
107,0.0,0.2577434454240014,0.999984493132908
108,0.0,0.25774918875455877,0.9999842986713782
109,0.0,0.25776067541567355,0.9999842737493517
110,0.0,0.25776929041150964,0.999984163423176
111,0.0,0.257775033742067,0.9999840995497874
112,0.0,0.25777790540734574,0.9999839455493502
113,0.0,0.2577865204031818,0.9999835435689508
114,0.0,0.2577893920684605,0.9999835156655204
115,0.0,0.2578008787295753,0.999983402969191
116,0.0,0.257803750394854,0.9999833544864106
117,0.0,0.2578123653906901,0.999983173183368
118,0.0,0.25781810872124744,0.9999829891190312
119,0.0,0.25782385205180486,0.999982910532876
120,0.0,0.2578611837004279,0.9999827188940091
