,0,1,2,3,4,5
0,0.99192816,0.9972354,0.980278,0.9980688,0.9952496,0.9990162
1,0.99240094,0.9974488,0.98053247,0.99830526,0.99543464,0.9990162
2,0.99242395,0.9974585,0.9805643,0.99830526,0.9954482,0.9990162
3,0.992447,0.9974585,0.9805643,0.99830526,0.99545264,0.9990162
4,0.99248165,0.9974585,0.9805643,0.99830526,0.9954662,0.9990162
5,0.99248165,0.9974585,0.9805643,0.99830526,0.99546844,0.9990162
6,0.99249315,0.9974585,0.9805643,0.99830526,0.99546844,0.9990162
7,0.99249315,0.9974585,0.9805643,0.99830526,0.99547523,0.9990162
8,0.99249315,0.9974585,0.9805643,0.99830526,0.9954797,0.9990162
9,0.99249315,0.9974585,0.9805643,0.99830526,0.9954797,0.9990162
10,0.9925047,0.9974585,0.9805643,0.99830526,0.99548197,0.9990162
11,0.9925047,0.99746823,0.9805643,0.99830526,0.99548423,0.9990162
12,0.9925162,0.99746823,0.9805643,0.99830526,0.99548423,0.9990162
13,0.9925278,0.99746823,0.9805643,0.99830526,0.99548423,0.9990162
14,0.9925278,0.99746823,0.9805643,0.99830526,0.99548876,0.9990162
15,0.9925278,0.99747795,0.9805643,0.99830526,0.995491,0.9990162
16,0.9925393,0.99747795,0.9805643,0.99830526,0.99549323,0.9990162
17,0.99256235,0.99747795,0.9805643,0.99830526,0.99549323,0.9990162
18,0.99256235,0.9974876,0.9805643,0.99830526,0.99549323,0.9990162
19,0.99256235,0.9974973,0.9805643,0.99830526,0.99549323,0.9990162
20,0.99256235,0.9974973,0.9805643,0.99830526,0.9954955,0.9990162
21,0.99256235,0.9974973,0.9805643,0.99830526,0.99549776,0.9990162
22,0.99256235,0.9974973,0.9805643,0.99830526,0.9955,0.9990162
23,0.99256235,0.9974973,0.9805643,0.99830526,0.9955,0.9990162
24,0.99256235,0.9974973,0.9805643,0.99830526,0.9955,0.9990162
25,0.99257386,0.9974973,0.9805643,0.99830526,0.9955,0.9990162
26,0.99257386,0.9974973,0.9805643,0.99830526,0.9955,0.9990162
27,0.99257386,0.99750704,0.9805643,0.99830526,0.9955023,0.9990162
28,0.99257386,0.99750704,0.9805643,0.99830526,0.9955023,0.9990162
29,0.9925854,0.99750704,0.9805643,0.99830526,0.9955023,0.9990162
30,0.9925854,0.99750704,0.9805643,0.99830526,0.9955023,0.9990162
31,0.9925854,0.99750704,0.9805643,0.99830526,0.9955023,0.9990162
32,0.9925854,0.99750704,0.9805643,0.99830526,0.9955023,0.99902934
33,0.9925854,0.99750704,0.9805643,0.99830526,0.9955023,0.99902934
34,0.9925854,0.99750704,0.9805643,0.99830526,0.9955023,0.99902934
